Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,TISSUE,Avg_Spot_Len (run),Mbases (run),Mbytes (run),Raw_reads (run)
SRR6123020,WGS,50,214979400,PRJNA408137,SAMN07675576,Plant,77474849,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_278,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235838,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00081,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_278,SRP119212,leaf,50,228,126,4299588
SRR6123021,WGS,50,195845100,PRJNA408137,SAMN07675585,Plant,69565941,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_299,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235837,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00090,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_299,SRP119212,leaf,50,3,114,3916902
SRR6123022,WGS,50,165493200,PRJNA408137,SAMN07675584,Plant,59089304,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_295,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235836,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00089,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_295,SRP119212,leaf,50,10,97,3309864
SRR6123023,WGS,50,198061400,PRJNA408137,SAMN07675505,Plant,71436466,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_025,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235835,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00010,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_025,SRP119212,leaf,50,234,116,3961228
SRR6123024,WGS,50,205589550,PRJNA408137,SAMN07675504,Plant,74098608,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_016,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235834,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00009,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_016,SRP119212,leaf,50,253,121,4111791
SRR6123025,WGS,50,249234650,PRJNA408137,SAMN07675503,Plant,89255130,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_015,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235833,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00008,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_015,SRP119212,leaf,50,343,146,4984693
SRR6123026,WGS,50,295633650,PRJNA408137,SAMN07675502,Plant,105811820,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_012,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235832,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00007,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_012,SRP119212,leaf,50,395,172,5912673
SRR6123027,WGS,50,258040200,PRJNA408137,SAMN07675501,Plant,92527514,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_011,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235831,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00006,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_011,SRP119212,leaf,50,247,151,5160804
SRR6123028,WGS,50,249771450,PRJNA408137,SAMN07675500,Plant,89697498,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_006,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235830,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00005,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_006,SRP119212,leaf,50,228,145,4995429
SRR6123029,WGS,50,229434100,PRJNA408137,SAMN07675499,Plant,82564519,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_005,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235829,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00004,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_005,SRP119212,leaf,50,390,134,4588682
SRR6123030,WGS,50,247614150,PRJNA408137,SAMN07675498,Plant,88919854,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_004,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235828,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00003,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_004,SRP119212,leaf,50,66246,144,4952283
SRR6123031,WGS,300,65807356800,PRJNA408137,SAMN07675496,Plant,28533986662,"UNIVERSITY OF CALIFORNIA, DAVIS",public,PL_4,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235827,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00002,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,PL_4,SRP119212,leaf,300,46676,38188,438715712
SRR6123032,WGS,300,46367356200,PRJNA408137,SAMN07675495,Plant,19743289836,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235826,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00001,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,Alca_Tarma,SRP119212,leaf,300,59312,26368,309115708
SRR6123033,WGS,50,600809850,PRJNA408137,SAMN07675634,Plant,234773609,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_474,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235825,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00139,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_474,SRP119212,leaf,50,1026,380,12626729
SRR6123034,WGS,50,173666600,PRJNA408137,SAMN07675635,Plant,64035764,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_477,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235824,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00140,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_477,SRP119212,leaf,50,177,104,3473332
SRR6123035,WGS,50,202003600,PRJNA408137,SAMN07675628,Plant,72117099,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_464,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235823,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00133,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_464,SRP119212,leaf,50,175,118,4040072
SRR6123036,WGS,50,188853950,PRJNA408137,SAMN07675629,Plant,67237525,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_465,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235822,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00134,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_465,SRP119212,leaf,50,206,110,3777079
SRR6123037,WGS,50,149406700,PRJNA408137,SAMN07675626,Plant,53435937,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_461,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235821,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00131,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_461,SRP119212,leaf,50,201,87,3649643
SRR6123038,WGS,50,171905850,PRJNA408137,SAMN07675627,Plant,61284667,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_463,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235820,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00132,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_463,SRP119212,leaf,50,591,100,3438117
SRR6123039,WGS,50,197102250,PRJNA408137,SAMN07675632,Plant,70545457,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_469,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235819,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00137,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_469,SRP119212,leaf,50,220,115,3942045
SRR6123040,WGS,50,1005545200,PRJNA408137,SAMN07675633,Plant,359284401,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_473,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235818,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00138,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_473,SRP119212,leaf,50,201,577,20110904
SRR6123041,WGS,50,240338950,PRJNA408137,SAMN07675630,Plant,85697449,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_466,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235817,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00135,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_466,SRP119212,leaf,50,193,140,4806779
SRR6123042,WGS,50,215694800,PRJNA408137,SAMN07675631,Plant,77386560,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_467,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235816,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00136,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_467,SRP119212,leaf,50,245,126,4313896
SRR6123043,WGS,50,213652500,PRJNA408137,SAMN07675566,Plant,76800084,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_258,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235815,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00071,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_258,SRP119212,leaf,50,210,125,4273050
SRR6123044,WGS,50,251601150,PRJNA408137,SAMN07675567,Plant,90352906,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_259,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235814,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00072,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_259,SRP119212,leaf,50,236,147,5032023
SRR6123045,WGS,50,249983650,PRJNA408137,SAMN07675568,Plant,89467200,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_262,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235813,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00073,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_262,SRP119212,leaf,50,222,145,4999673
SRR6123046,WGS,50,234565250,PRJNA408137,SAMN07675569,Plant,83609876,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_267,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235812,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00074,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_267,SRP119212,leaf,50,226,137,4691305
SRR6123047,WGS,50,220491400,PRJNA408137,SAMN07675614,Plant,78650950,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_429,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235811,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00119,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_429,SRP119212,leaf,50,194,129,4409828
SRR6123048,WGS,50,248946200,PRJNA408137,SAMN07675615,Plant,88438296,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_430,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235810,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00120,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_430,SRP119212,leaf,50,204,145,4978924
SRR6123049,WGS,50,306246250,PRJNA408137,SAMN07675572,Plant,109252575,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_270,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235809,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00077,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_270,SRP119212,leaf,50,218,178,6124925
SRR6123050,WGS,50,323093950,PRJNA408137,SAMN07675573,Plant,116010803,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_272,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235808,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00078,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_272,SRP119212,leaf,50,257,188,6461879
SRR6123051,WGS,50,173522550,PRJNA408137,SAMN07675610,Plant,62421261,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_420,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235807,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00115,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_420,SRP119212,leaf,50,202,102,5004590
SRR6123052,WGS,50,189773400,PRJNA408137,SAMN07675611,Plant,68216090,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_421,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235806,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00116,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_421,SRP119212,leaf,50,182,111,3795468
SRR6123053,WGS,50,199849600,PRJNA408137,SAMN07675612,Plant,71174122,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_425,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235805,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00117,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_425,SRP119212,leaf,50,253,116,3996992
SRR6123054,WGS,50,198067000,PRJNA408137,SAMN07675613,Plant,70568010,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_428,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235804,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00118,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_428,SRP119212,leaf,50,403,116,3961340
SRR6123055,WGS,50,197960450,PRJNA408137,SAMN07675606,Plant,70582627,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_407,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235803,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00111,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_407,SRP119212,leaf,50,248,115,3959209
SRR6123056,WGS,50,178638900,PRJNA408137,SAMN07675607,Plant,64125242,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_414,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235802,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00112,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_414,SRP119212,leaf,50,188,105,3572778
SRR6123057,WGS,50,247800800,PRJNA408137,SAMN07675608,Plant,88398377,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_415,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235801,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00113,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_415,SRP119212,leaf,50,229,144,4956016
SRR6123058,WGS,50,395516550,PRJNA408137,SAMN07675609,Plant,141104339,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_417,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235800,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00114,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_417,SRP119212,leaf,50,191,229,7910331
SRR6123059,WGS,50,214648600,PRJNA408137,SAMN07675645,Plant,76798738,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_499,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235799,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00150,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_499,SRP119212,leaf,50,211,126,4292972
SRR6123060,WGS,50,206502200,PRJNA408137,SAMN07675644,Plant,73919340,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_497,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235798,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00149,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_497,SRP119212,leaf,50,219,121,4130044
SRR6123061,WGS,50,63780600,PRJNA408137,SAMN07675637,Plant,22882007,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_480,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235797,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00142,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_480,SRP119212,leaf,50,65,37,1275612
SRR6123062,WGS,50,60401200,PRJNA408137,SAMN07675636,Plant,21596184,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_479,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235796,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00141,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_479,SRP119212,leaf,50,62,35,1208024
SRR6123063,WGS,50,194613250,PRJNA408137,SAMN07675639,Plant,69363352,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_485,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235795,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00144,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_485,SRP119212,leaf,50,199,113,3892265
SRR6123064,WGS,50,183787200,PRJNA408137,SAMN07675638,Plant,65690599,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_483,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235794,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00143,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_483,SRP119212,leaf,50,187,106,3675744
