Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_description,Sample_ID,Sample Name,SRA Study,subgroup,TISSUE
SRR5349582,WGS,250,16412134750,PRJNA378971,SAMN06564739,Plant,8256332098,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 214421,SRX2646000,Peru,South America,"Peru: Huanuco\, Huanuco area\, Peru",Illumina HiSeq 2500,NA,PDP_CD,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_CD; PI 214421, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 214421,PDP_CD,SRP102000,Andigena,immature whole leaf
SRR5349583,WGS,250,12231380500,PRJNA378971,SAMN06564738,Plant,6211881145,MICHIGAN STATE UNIVERSITY,public,Yukon Gold,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646001,Canada,North America,Canada: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_CC,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_CC; Yukon Gold, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Yukon Gold,PDP_CC,SRP102000,Tuberosum,immature whole leaf
SRR5349584,WGS,250,11872292000,PRJNA378971,SAMN06564737,Plant,5958972772,MICHIGAN STATE UNIVERSITY,public,Spunta,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646002,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_CB,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_CB; Spunta, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Spunta,PDP_CB,SRP102000,Tuberosum,immature whole leaf
SRR5349585,WGS,250,12015671750,PRJNA378971,SAMN06564736,Plant,6030427653,MICHIGAN STATE UNIVERSITY,public,Sierra Gold,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646003,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_CA,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_CA; Sierra Gold, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Sierra Gold,PDP_CA,SRP102000,Tuberosum,immature whole leaf
SRR5349586,WGS,250,14319306500,PRJNA378971,SAMN06564735,Plant,7187256681,MICHIGAN STATE UNIVERSITY,public,Shepody,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646004,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BZ,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BZ; Shepody, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Shepody,PDP_BZ,SRP102000,Tuberosum,immature whole leaf
SRR5349587,WGS,250,13661789500,PRJNA378971,SAMN06564734,Plant,6758987061,MICHIGAN STATE UNIVERSITY,public,Russet Burbank,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646005,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BY,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BY; Russet Burbank, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Russet Burbank,PDP_BY,SRP102000,Tuberosum,immature whole leaf
SRR5349588,WGS,250,12808575750,PRJNA378971,SAMN06564733,Plant,6404630077,MICHIGAN STATE UNIVERSITY,public,Rio Grande Russet,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646006,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BX,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BX; Rio Grande Russet, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Rio Grande Russet,PDP_BX,SRP102000,Tuberosum,immature whole leaf
SRR5349589,WGS,250,13038117250,PRJNA378971,SAMN06564732,Plant,6501755125,MICHIGAN STATE UNIVERSITY,public,Purple Majesty,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646007,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BW,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BW; Purple Majesty, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Purple Majesty,PDP_BW,SRP102000,Tuberosum,immature whole leaf
SRR5349590,WGS,250,12127590500,PRJNA378971,SAMN06564731,Plant,6002166906,MICHIGAN STATE UNIVERSITY,public,Premier Russet,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646008,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BV,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BV; Premier Russet, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Premier Russet,PDP_BV,SRP102000,Tuberosum,immature whole leaf
SRR5349591,WGS,250,14319035000,PRJNA378971,SAMN06564730,Plant,7066744329,MICHIGAN STATE UNIVERSITY,public,Norland,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646009,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BU,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BU; Norland, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Norland,PDP_BU,SRP102000,Tuberosum,immature whole leaf
SRR5349592,WGS,250,11416061750,PRJNA378971,SAMN06564729,Plant,5829647039,MICHIGAN STATE UNIVERSITY,public,Mountain Rose,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646010,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BT,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BT; Mountain Rose, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Mountain Rose,PDP_BT,SRP102000,Tuberosum,immature whole leaf
SRR5349593,WGS,250,11775376250,PRJNA378971,SAMN06564728,Plant,5903690409,MICHIGAN STATE UNIVERSITY,public,Kennebec,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646011,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BS,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BS; Kennebec, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Kennebec,PDP_BS,SRP102000,Tuberosum,immature whole leaf
SRR5349594,WGS,250,15714343500,PRJNA378971,SAMN06564727,Plant,7864875677,MICHIGAN STATE UNIVERSITY,public,Katahdin,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646012,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BR,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BR; Katahdin, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Katahdin,PDP_BR,SRP102000,Tuberosum,immature whole leaf
SRR5349595,WGS,250,15654008000,PRJNA378971,SAMN06564726,Plant,7912412635,MICHIGAN STATE UNIVERSITY,public,Irish Cobbler,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646013,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BQ,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BQ; Irish Cobbler, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Irish Cobbler,PDP_BQ,SRP102000,Tuberosum,immature whole leaf
SRR5349596,WGS,250,13029665750,PRJNA378971,SAMN06564725,Plant,6564142649,MICHIGAN STATE UNIVERSITY,public,Garnet Chili,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646014,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BP,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BP; Garnet Chili, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Garnet Chili,PDP_BP,SRP102000,Tuberosum,immature whole leaf
SRR5349597,WGS,250,11219421750,PRJNA378971,SAMN06564724,Plant,5362223150,MICHIGAN STATE UNIVERSITY,public,Early Rose,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646015,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BO,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BO; Early Rose, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Early Rose,PDP_BO,SRP102000,Tuberosum,immature whole leaf
SRR5349598,WGS,250,9717166250,PRJNA378971,SAMN06564723,Plant,4661173052,MICHIGAN STATE UNIVERSITY,public,Dakota Diamond,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646016,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BN,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BN; Dakota Diamond, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Dakota Diamond,PDP_BN,SRP102000,Tuberosum,immature whole leaf
SRR5349599,WGS,250,10281005250,PRJNA378971,SAMN06564722,Plant,4925519390,MICHIGAN STATE UNIVERSITY,public,Burbank,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2646017,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2500,NA,PDP_BM,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BM; Burbank, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",Burbank,PDP_BM,SRP102000,Tuberosum,immature whole leaf
SRR5349600,WGS,250,9176864000,PRJNA378971,SAMN06564721,Plant,4462376244,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 607886,SRX2646018,Peru,South America,"Peru: Paruro\, Cusco area\, Peru",Illumina HiSeq 2500,NA,PDP_BL,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BL; PI 607886, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 607886,PDP_BL,SRP102000,Andigena,immature whole leaf
SRR5349601,WGS,250,10863889250,PRJNA378971,SAMN06564720,Plant,5192337696,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 558142,SRX2646019,Argentina,South America,"Argentina: Jujuy\, Jujuy area\, Argentina",Illumina HiSeq 2500,NA,PDP_BK,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BK; PI 558142, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 558142,PDP_BK,SRP102000,Andigena,immature whole leaf
SRR5349602,WGS,250,10436588750,PRJNA378971,SAMN06564719,Plant,4943690661,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 546023,SRX2646020,Bolivia,South America,"Bolivia: Sacaca\, Potosi area\, Bolivia",Illumina HiSeq 2500,NA,PDP_BJ,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BJ; PI 546023, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 546023,PDP_BJ,SRP102000,Andigena,immature whole leaf
SRR5349603,WGS,250,10731414250,PRJNA378971,SAMN06564718,Plant,5211557212,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 365345,SRX2646021,Peru,South America,"Peru: Pataz\, La Libertad area\, Peru",Illumina HiSeq 2500,NA,PDP_BI,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BI; PI 365345, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 365345,PDP_BI,SRP102000,Andigena,immature whole leaf
SRR5349604,WGS,250,10280327000,PRJNA378971,SAMN06564717,Plant,5107618415,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 258885,SRX2646022,Bolivia,South America,"Bolivia: Tacacoma\, La Paz area\, Bolivia",Illumina HiSeq 2500,NA,PDP_BH,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BH; PI 258885, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 258885,PDP_BH,SRP102000,Tuberosum,immature whole leaf
SRR5349605,WGS,250,11204331250,PRJNA378971,SAMN06564716,Plant,5497185858,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 258874,SRX2646023,Bolivia,South America,"Bolivia: Oruro\, Bolivia\, Local variety ""Amajaya""",Illumina HiSeq 2500,NA,PDP_BG,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BG; PI 258874, andigena, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 258874,PDP_BG,SRP102000,Andigena,immature whole leaf
SRR5349606,WGS,250,11026682750,PRJNA378971,SAMN06564715,Plant,5342169630,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 245940,SRX2646024,Chile,South America,"Chile: Arica\, Zapahuira area\, Chile\, Local variety ""Pitehuica""",Illumina HiSeq 2500,NA,PDP_BF,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BF; PI 245940, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 245940,PDP_BF,SRP102000,Andigena,immature whole leaf
SRR5349607,WGS,250,10641679500,PRJNA378971,SAMN06564714,Plant,5243618773,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 245935,SRX2646025,Chile,South America,"Chile: Arica\, Zapahuira area\, Chile\, Local variety ""Chapaquina""",Illumina HiSeq 2500,NA,PDP_BE,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BE; PI 245935, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 245935,PDP_BE,SRP102000,Andigena,immature whole leaf
SRR5349608,WGS,250,10232390250,PRJNA378971,SAMN06564713,Plant,5004046663,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 245847,SRX2646026,Chile,South America,"Chile: Chiloe Island\, Los Lagos area\, Chile",Illumina HiSeq 2500,NA,PDP_BD,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BD; PI 245847, tuberosum, 4x, leaf tissue - genomic DNA sheared to 500bp",PI 245847,PDP_BD,SRP102000,Tuberosum,immature whole leaf
SRR5349609,WGS,250,7817125500,PRJNA378971,SAMN06564712,Plant,3890781918,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 558050,SRX2646027,Argentina,South America,Argentina,Illumina HiSeq 2500,NA,PDP_BC,PAIRED,RANDOM,GENOMIC,Solanum commersonii,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BC; PI 558050, commersonii, 2x, leaf tissue - genomic DNA sheared to 500bp",PI 558050,PDP_BC,SRP102000,NA,immature whole leaf
SRR5349610,WGS,250,7455025750,PRJNA378971,SAMN06564711,Plant,3725924057,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 546000,SRX2646028,Bolivia,South America,"Bolivia: Prov. Azurduy\, Chuquisaca\, Bolivia",Illumina HiSeq 2500,NA,PDP_BB,PAIRED,RANDOM,GENOMIC,Solanum megistacrolobum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BB; PI 546000, boliviense - megistracrolobum, 2x, leaf tissue - genomic DNA sheared to 500bp",PI 546000,PDP_BB,SRP102000,NA,immature whole leaf
SRR5349611,WGS,250,7502605000,PRJNA378971,SAMN06564710,Plant,3772474647,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 545987,SRX2646029,Bolivia,South America,"Bolivia: Prov. Ibanes near Sacaca\, Potosi area\, Bolivia",Illumina HiSeq 2500,NA,PDP_BA,PAIRED,RANDOM,GENOMIC,Solanum leptophyes,ILLUMINA,2017-10-20T00:00:00Z,"PDP_BA; PI 545987, brevicaule - leptophyes, 2x - genomic DNA sheared to 500bp",PI 545987,PDP_BA,SRP102000,brevicaule spp complex,immature whole leaf
SRR5349612,WGS,250,9013319250,PRJNA378971,SAMN06564709,Plant,4457277039,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 545964,SRX2646030,Bolivia,South America,"Bolivia: Near Potosi\, Bolivia",Illumina HiSeq 2500,NA,PDP_AZ,PAIRED,RANDOM,GENOMIC,Solanum boliviense,ILLUMINA,2017-10-20T00:00:00Z,"PDP_AZ; PI 545964, boliviense, 2x, leaf tissue - genomic DNA sheared to 500bp",PI 545964,PDP_AZ,SRP102000,NA,immature whole leaf
SRR5349613,WGS,250,7244390000,PRJNA378971,SAMN06564708,Plant,3640879361,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 498359,SRX2646031,Argentina,South America,"Argentina: Quebrada Antecristo\, San Juan area\, Argentina",Illumina HiSeq 2500,NA,PDP_AY,PAIRED,RANDOM,GENOMIC,Solanum kurtzianum,ILLUMINA,2017-10-20T00:00:00Z,"PDP_AY; PI 498359, kurtzianum, 2x, leaf tissue - genomic DNA sheared to 500bp",PI 498359,PDP_AY,SRP102000,NA,immature whole leaf
SRR5349614,WGS,250,6995459750,PRJNA378971,SAMN06564707,Plant,3502420490,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 498112,SRX2646032,Bolivia,South America,"Bolivia: Chapare\, Cochabamba area\, Bolivia",Illumina HiSeq 2500,NA,PDP_AX,PAIRED,RANDOM,GENOMIC,Solanum brevicaule,ILLUMINA,2017-10-20T00:00:00Z,"PDP_AX; PI 498112, brevicaule - brevicaule, 2x, leaf tissue - genomic DNA sheared to 500bp",PI 498112,PDP_AX,SRP102000,brevicaule spp complex,immature whole leaf
