Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,TISSUE,TREATMENT
SRR8325674,WGS,300,2551696500,PRJNA510212,SAMN10600201,Plant,754827595,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137508,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_5,KFRAG_01458,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_5,SRP173533,leaf,stem_explant_regenerated
SRR8325675,WGS,300,1806019500,PRJNA510212,SAMN10600202,Plant,541017727,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137507,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_6,KFRAG_01459,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_6,SRP173533,leaf,stem_explant_regenerated
SRR8325676,WGS,300,1383851400,PRJNA510212,SAMN10600199,Plant,417225552,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137506,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_3,KFRAG_01456,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_3,SRP173533,leaf,stem_explant_regenerated
SRR8325677,WGS,300,2101595100,PRJNA510212,SAMN10600200,Plant,621900986,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137505,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_4,KFRAG_01457,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_4,SRP173533,leaf,stem_explant_regenerated
SRR8325678,WGS,300,2489188800,PRJNA510212,SAMN10600197,Plant,734193939,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137504,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_1,KFRAG_01454,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_1,SRP173533,leaf,stem_explant_regenerated
SRR8325679,WGS,300,2248338300,PRJNA510212,SAMN10600198,Plant,665837624,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137503,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_2,KFRAG_01455,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_2,SRP173533,leaf,stem_explant_regenerated
SRR8325680,WGS,101,858987426,PRJNA510212,SAMN10600190,Plant,310013932,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137502,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_2,MFRAG_00045,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant2,SRP173533,leaf,control
SRR8325681,WGS,101,865967435,PRJNA510212,SAMN10600191,Plant,314463255,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137501,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_5,MFRAG_00046,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant5,SRP173533,leaf,control
SRR8325682,WGS,101,594570234,PRJNA510212,SAMN10600185,Plant,215465856,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137500,USA,North America,USA,Illumina HiSeq 4000,proto_regen_84,MFRAG_00003,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_84,SRP173533,leaf,protoplast_regenerated
SRR8325683,WGS,101,578424980,PRJNA510212,SAMN10600192,Plant,208957420,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137499,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_6,MFRAG_00047,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant6,SRP173533,leaf,control
SRR8325684,WGS,101,530685714,PRJNA510212,SAMN10600183,Plant,191153837,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137498,USA,North America,USA,Illumina HiSeq 4000,proto_regen_75,MFRAG_00004,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_75,SRP173533,leaf,protoplast_regenerated
SRR8325685,WGS,101,725552892,PRJNA510212,SAMN10600193,Plant,260470941,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137497,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_7,MFRAG_00048,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant7,SRP173533,leaf,control
SRR8325686,WGS,101,317145050,PRJNA510212,SAMN10600185,Plant,121698225,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137496,USA,North America,USA,Illumina HiSeq 4000,proto_regen_84,MFRAG_00030,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_84,SRP173533,leaf,protoplast_regenerated
SRR8325687,WGS,101,544089929,PRJNA510212,SAMN10600189,Plant,205438062,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137495,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_1,MFRAG_00031,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant1,SRP173533,leaf,control
SRR8325688,WGS,101,759677156,PRJNA510212,SAMN10600195,Plant,273010170,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137494,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_10,MFRAG_00050,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant10,SRP173533,leaf,control
SRR8325689,WGS,101,706370164,PRJNA510212,SAMN10600196,Plant,253975808,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137493,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_11,MFRAG_00051,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant11,SRP173533,leaf,control
SRR8325690,WGS,101,703509137,PRJNA510212,SAMN10600194,Plant,253671129,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137492,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_9,MFRAG_00049,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant9,SRP173533,leaf,control
SRR8325691,WGS,300,2306293500,PRJNA510212,SAMN10600205,Plant,684262421,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137491,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_9,KFRAG_01462,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_9,SRP173533,leaf,stem_explant_regenerated
SRR8325692,WGS,101,432634813,PRJNA510212,SAMN10600181,Plant,161884998,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137490,USA,North America,USA,Illumina HiSeq 4000,proto_regen_63,MFRAG_00022,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_63,SRP173533,leaf,protoplast_regenerated
SRR8325693,WGS,101,525786103,PRJNA510212,SAMN10600184,Plant,192680139,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137489,USA,North America,USA,Illumina HiSeq 4000,proto_regen_83,MFRAG_00023,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_83,SRP173533,leaf,protoplast_regenerated
SRR8325694,WGS,101,420058899,PRJNA510212,SAMN10600177,Plant,154557300,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137488,USA,North America,USA,Illumina HiSeq 4000,proto_regen_113,MFRAG_00019,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_113,SRP173533,leaf,protoplast_regenerated
SRR8325695,WGS,101,956768556,PRJNA510212,SAMN10600186,Plant,344307947,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137487,USA,North America,USA,Illumina HiSeq 4000,proto_regen_86,MFRAG_00021,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_86,SRP173533,leaf,protoplast_regenerated
SRR8325696,WGS,101,425141825,PRJNA510212,SAMN10600179,Plant,160699929,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137486,USA,North America,USA,Illumina HiSeq 4000,proto_regen_13,MFRAG_00028,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_13,SRP173533,leaf,protoplast_regenerated
